Date,Volatility_TSLA,RSI_TSLA,SMA_TSLA,Return_TSLA,Volume_TSLA,Volatility_SPY,RSI_SPY,SMA_SPY,Return_SPY,Volume_SPY,prediction,target
2025-10-24,0.04959416025893924,52.39345331395008,438.4633309500558,-0.029339985554980713,94727800,0.004163818809985235,62.864379932026026,667.2118995303199,0.0011678118465006382,74356500,0.5864542,1
2025-10-27,0.047455905095879575,58.32613817685177,439.0357128324963,0.028274017298010407,105867500,0.0049909272063740785,68.10773255165901,668.327136811756,0.003676431147642986,63339800,0.5298318,1
2025-10-28,0.033438267950638055,60.62362136578812,439.8614269438244,0.012687429150709044,80185700,0.005938282055694202,69.17537957465397,669.4404703776041,1.4569195550318936e-05,61738100,0.47061536,0
2025-10-29,0.028276782809487158,60.89775791101302,440.6609511602493,-0.0021405194256756757,67983500,0.009936159886373868,69.37557686300195,670.4504714239212,-0.0019310548717350639,85657100,0.4781481,0
2025-10-30,0.035105685055131,52.173966555220794,439.73904709588913,-0.02427664779026477,72447900,0.008987519229759206,59.79493207549117,670.9923764183408,-0.005951172947691829,76335800,0.5812117,1
2025-10-31,0.031343082256691225,57.24491597023265,440.71809459867933,0.02195858435051763,83135800,0.008562335976853783,61.48454510588805,671.6038062686011,-0.0043500825708467665,87164100,0.53108484,1
2025-11-03,0.04327779264805036,60.48248769190459,442.55333310081846,0.027149729485178572,84595200,0.008575504318879785,62.459774670962645,672.2766636439732,-0.0033980721232663258,57315000,0.55870664,1
2025-11-04,0.037410513554788756,51.85040471481584,442.125238327753,-0.022444179644494317,87756600,0.007967544814614884,53.26816958018626,672.4495210193452,-0.0012867656683625541,78427000,0.6174331,1
2025-11-05,0.05544613307742959,56.75977208609911,443.50523885091144,0.02216573344061011,85573000,0.009873376239959552,55.3140510622639,672.8523792085193,0.0038520203507193137,74402400,0.63455814,1
2025-11-06,0.07257073311515477,51.61710067943635,443.8490484328497,-0.03474324203361122,109622900,0.01291944654149441,48.247011588971176,672.7190464564732,-0.009106055569811257,85035300,0.793972,1
2025-11-07,0.04069654711272029,46.96893678939052,443.5623808361235,-0.019181640839643136,103471500,0.014710040013928645,48.88545428894585,672.7099987211682,0.004581452114253109,100592400,0.7069475,1
2025-11-10,0.036632813767517376,51.47916223432032,445.07381039574034,0.012807108290819186,76515900,0.0104924327208411,57.783170081992196,674.0633312406994,0.006201660072639443,75842900,0.57946163,1
2025-11-11,0.023042639086768995,49.848761836175,445.2509533110119,0.0005006855342718867,60533200,0.0070864229216233525,58.930309127324534,675.0138084774926,0.004485605909571025,58953400,0.5047503,1
2025-11-12,0.03662329026971911,47.25722367772026,445.31571597144716,-0.026122329418538495,58513500,0.005867906197098414,59.220990403963995,676.0209524972098,-0.0020589862436259975,62312500,0.56749696,1
2025-11-13,0.0700515046299811,40.130713815426795,443.7366681780134,-0.04996103893481227,118948000,0.015385938572677876,48.24677453317442,676.3480951218378,-0.012432067557173035,103457800,0.831562,1
2025-11-14,0.07273402551793276,40.92214815537316,442.5747637067522,0.04672539187399739,105506700,0.01843935193894468,48.15357112773682,676.8857131231399,0.009843980499718115,96846700,0.7974812,1
2025-11-17,0.06167465614925224,42.50708440888398,441.12762160528274,0.025530479617496275,102214300,0.01733597632275621,43.055383603146005,676.9466639927456,-0.006017663466353881,90456100,0.80146277,1
2025-11-18,0.0378567039038162,40.54124474046906,438.92857433500745,-0.010187983701875982,80688600,0.014028617025024432,39.076827984964154,676.4123796735491,-0.0030508360830343645,114467500,0.7352579,1
2025-11-19,0.032872098567572124,41.58064097377772,437.09000215076264,-0.005391704369728377,72047700,0.012963534388980642,41.72236313444785,676.0,0.0027996844697410544,94703000,0.68386465,1
2025-11-20,0.08653192130243952,39.22009372160914,435.0071454729353,-0.04678868790976047,113548800,0.03627416647117608,35.202082461798696,675.2728591192337,-0.030286285923836257,165293500,0.93222207,1
2025-11-21,0.048684390308193284,38.118698799912714,432.25047810872394,-0.02791313079609825,100180500,0.020788145604909557,41.53456884909873,674.6666695731027,0.006075935543966697,123872700,0.7961359,1
